step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,B_stopped,B_accumulated_waiting_time,B_average_speed,E_stopped,E_accumulated_waiting_time,E_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,2,0.0,0.0,1.6441489391552753,0,0.0,1.0,0,0.0,1.0,0,0.0
10.0,4,0.0,0.0,5.081705879742788,0,0.0,1.0,0,0.0,1.0,0,0.0
15.0,1,0.0,0.0,8.659555060850371,0,0.0,0.8870493182930715,0,0.0,0.4610717804042738,0,0.0
20.0,4,6.0,0.20689655172413793,6.61445165278775,0,0.0,0.6224225727967568,2,6.0,0.3024853983166467,2,6.0
25.0,7,22.0,0.6666666666666666,6.434103316721976,4,12.0,0.42616764653420597,3,18.0,0.17328819765568315,7,30.0
30.0,9,33.0,0.9166666666666666,5.5809721998594,4,25.0,0.35176692722064723,4,23.0,0.28240732224645865,8,48.0
35.0,13,70.0,1.6666666666666667,6.223994333865725,7,45.0,0.38384645166953596,4,33.0,0.2966765558923722,11,78.0
40.0,17,117.0,2.4893617021276597,5.732576655926671,7,68.0,0.4025235715290436,8,61.0,0.27997167904071685,15,129.0
45.0,17,161.0,3.156862745098039,5.9634832661619,8,105.0,0.32714769758648377,7,71.0,0.2861471209924861,15,176.0
50.0,24,248.0,4.862745098039215,5.109885422748175,11,148.0,0.1895909834686283,11,111.0,0.07386356231716468,22,259.0
55.0,23,326.0,6.653061224489796,4.485029563630086,13,210.0,0.14987942151998215,10,146.0,0.20634908157977616,23,356.0
60.0,22,380.0,8.26086956521739,3.800414031260148,13,264.0,0.09614210976075714,9,165.0,0.1767050059087453,22,429.0
65.0,24,412.0,7.773584905660377,4.080273378542652,14,330.0,0.13916537855342384,8,148.0,0.1245831654736945,22,478.0
70.0,27,516.0,9.381818181818181,5.022863016663948,16,407.0,0.1780290045961353,10,158.0,0.16756364546388508,26,565.0
75.0,30,654.0,11.473684210526315,3.968650574172078,17,486.0,0.05656995593607913,12,215.0,0.18255719477796734,29,701.0
80.0,31,755.0,12.796610169491526,3.8846297612263974,19,579.0,0.125804293248486,10,227.0,0.27354531283708433,29,806.0
85.0,35,903.0,14.80327868852459,3.677129863407064,20,671.0,0.06213676569687615,14,281.0,0.1012885558693788,34,952.0
90.0,41,1088.0,17.0,3.2900602237852468,21,774.0,0.09582007782514823,18,363.0,0.1234272915585264,39,1137.0
95.0,41,1268.0,19.8125,3.0391208967870833,22,880.0,0.041365011588162234,18,439.0,0.18441684298507727,40,1319.0
100.0,44,1478.0,20.816901408450704,3.0844411697107876,22,990.0,0.07583561885886471,19,531.0,0.12907470361836756,41,1521.0
105.0,49,1629.0,20.11111111111111,3.05714450452251,25,1109.0,0.14797959522222162,19,571.0,0.04518490384897936,44,1680.0
110.0,48,1735.0,19.942528735632184,3.0421283024170576,25,1234.0,0.11136897762159392,17,560.0,0.10941934045167583,42,1794.0
115.0,49,1952.0,21.68888888888889,3.205556868829831,27,1363.0,0.08170857479605581,21,670.0,0.14716004087207954,48,2033.0
120.0,59,2207.0,22.75257731958763,3.0613260322384432,28,1499.0,0.07662044972007022,26,798.0,0.13439809288965798,54,2297.0
125.0,59,2048.0,20.68686868686869,2.695356029276166,32,1645.0,0.0467844695100406,19,641.0,0.09582823619367961,51,2286.0
130.0,58,2027.0,19.872549019607842,3.2902723917333745,32,1797.0,0.07657713896517078,13,428.0,0.14509469678588327,45,2225.0
135.0,52,2239.0,21.528846153846153,4.1833672270926066,30,1932.0,0.20735196984992404,14,398.0,0.2345097483835001,44,2330.0
140.0,59,2504.0,22.972477064220183,4.253964383786024,33,2076.0,0.20855739189251138,16,422.0,0.2696954551161518,49,2498.0
145.0,61,2795.0,25.18018018018018,3.84875254306914,34,2242.0,0.17496250729346932,18,484.0,0.12968909961809558,52,2726.0
150.0,69,3113.0,27.069565217391304,3.4423643582525565,37,2412.0,0.1341781425838505,20,582.0,0.10922895857188172,57,2994.0
